Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Actibacterium ureilyticum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Actibacterium,Actibacterium ureilyticum
Flammeovirga pacifica,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,Flammeovirga pacifica
Paenibacillus anseongense,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus anseongense
Paenibacillus auburnensis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus auburnensis
Ramlibacter albus,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,Ramlibacter albus
Alteribacter salitolerans,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Alteribacter,Alteribacter salitolerans
Bartonella chomelii,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella chomelii
Rhizobium oryziradicis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium oryziradicis
Pseudomonas aestuarii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aestuarii
Psychroflexus aurantiacus,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus aurantiacus
Salipiger pallidus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Salipiger,Salipiger pallidus
Undibacterium curvum,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,Undibacterium curvum
Paenibacillus sedimenti,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sedimenti
Mucilaginibacter straminoryzae,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter straminoryzae
Bombilactobacillus mellis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus mellis
Lactimicrobium massiliense,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Lactimicrobium,Lactimicrobium massiliense
Dyella agri,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dyella,Dyella agri
Pyrinomonas methylaliphatogenes,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Pyrinomonadaceae,Pyrinomonas,Pyrinomonas methylaliphatogenes
Erythrobacter colymbi,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter colymbi
Microbacterium dauci,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium dauci
Lutibacter agarilyticus,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter,Lutibacter agarilyticus
Streptomyces pakalii,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces pakalii
Photobacterium andalusiense,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium andalusiense
Flavobacterium helocola,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium helocola
Echinicola shivajiensis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,Echinicola shivajiensis
Solibacillus faecavium,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Solibacillus,Solibacillus faecavium
Rufibacter latericius,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter latericius
Thermococcus waiotapuensis,Bacteria,Methanobacteriota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus waiotapuensis
Prauserella flavalba,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Prauserella,Prauserella flavalba
Trichococcus paludicola,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,Trichococcus paludicola
Microbacterium stercoris,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium stercoris
Pilimelia anulata,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Pilimelia,Pilimelia anulata
Actinomadura oligospora,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura oligospora
Halopseudomonas salina,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Halopseudomonas,Halopseudomonas salina
Asticcacaulis endophyticus,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis endophyticus
Pseudidiomarina piscicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Pseudidiomarina,Pseudidiomarina piscicola
Patiriisocius marinistellae,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Patiriisocius,Patiriisocius marinistellae
Algoriphagus locisalis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus locisalis
Scandinavium manionii,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Scandinavium,Scandinavium manionii
Aquaticitalea lipolytica,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquaticitalea,Aquaticitalea lipolytica
Pedobacter soli,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter soli
Roseobacter cerasinus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter cerasinus
Blastococcus aurantiacus,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Blastococcus,Blastococcus aurantiacus
Kribbella antiqua,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Kribbellaceae,Kribbella,Kribbella antiqua
Rhizobium vallis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium vallis
Pseudochelatococcus contaminans,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Chelatococcaceae,Pseudochelatococcus,Pseudochelatococcus contaminans
Profundicola chukchiensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Profundicola,Profundicola chukchiensis
Sphingomonas horti,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas horti
Mucilaginibacter hurinus,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter hurinus
Luteolibacter rhizosphaerae,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter rhizosphaerae
Zhongshania borealis,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Zhongshania,Zhongshania borealis
Brucella rhizosphaerae,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella rhizosphaerae
Novosphingobium meiothermophilum,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium meiothermophilum
Pseudomonas pseudonitroreducens,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas pseudonitroreducens
Dyadobacter jiangsuensis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Dyadobacter,Dyadobacter jiangsuensis
Dyella halodurans,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dyella,Dyella halodurans
Aequorivita aquimaris,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita aquimaris
Stenotrophomonas nematodicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Stenotrophomonas nematodicola
Ascidiimonas meishanensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ascidiimonas,Ascidiimonas meishanensis
Kineosporia corallincola,Bacteria,Actinomycetota,Actinomycetes,Kineosporiales,Kineosporiaceae,Kineosporia,Kineosporia corallincola
Kaistella pullorum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Kaistella,Kaistella pullorum
Maritimibacter fusiformis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maritimibacter,Maritimibacter fusiformis
Bacteroides difficilis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides difficilis
Flavobacterium araucananum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium araucananum
Candidatus Phyllobacterium onerii,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Candidatus Phyllobacterium onerii
Nocardia albiluteola,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,Nocardia albiluteola
Neobacillus piezotolerans,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Neobacillus,Neobacillus piezotolerans
Chryseobacterium gwangjuense,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium gwangjuense
Flavobacterium maritimum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium maritimum
Chitinophaga deserti,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga deserti
Natranaerovirga hydrolytica,Bacteria,Bacillota,Clostridia,Lachnospirales,Natranaerovirgaceae,Natranaerovirga,Natranaerovirga hydrolytica
Marivibrio halodurans,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Marivibrio,Marivibrio halodurans
Starkeya nomas,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Starkeya,Starkeya nomas
Intrasporangium zincisolvens,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Intrasporangium,Intrasporangium zincisolvens
Marinomonas balearica,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas balearica
Tessaracoccus rhinocerotis,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,Tessaracoccus rhinocerotis
Winogradskyella marincola,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella marincola
Hymenobacter cavernae,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter cavernae
Marinobacter zhanjiangensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter zhanjiangensis
Neotamlana sedimentorum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Neotamlana,Neotamlana sedimentorum
Geodermatophilus poikilotrophus,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus poikilotrophus
Paenibacillus vandeheii,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus vandeheii
Mycobacterium angelicum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium angelicum
Actinomycetospora lemnae,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,Actinomycetospora lemnae
Roseomonas ponticola,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Falsiroseomonas,Roseomonas ponticola
Peptoniphilus phoceensis,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus phoceensis
Undibacterium oligocarboniphilum,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,Undibacterium oligocarboniphilum
Cyclobacterium salsum,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,Cyclobacterium salsum
Streptomyces cirratus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces cirratus
Thalassospira mesophila,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,Thalassospira mesophila
Gemmobacter megaterium,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Gemmobacter,Gemmobacter megaterium
Bacillus cihuensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cihuensis
Pandoraea eparura,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea eparura
Lederbergia citri,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lederbergia,Lederbergia citri
Evansella halocellulosilytica,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Evansella,Evansella halocellulosilytica
Paenibacillus selenitireducens,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus selenitireducens
Asticcacaulis taihuensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis taihuensis
Paracoccus aurantiacus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus aurantiacus
Anaerosacchariphilus hominis,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerosacchariphilus,Anaerosacchariphilus hominis
Streptomyces orinoci,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces orinoci
Rhizomicrobium electricum,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium electricum
Oceanobacter mangrovi,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,Oceanobacter mangrovi
Pseudohalioglobus sediminis,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Pseudohalioglobus,Pseudohalioglobus sediminis
Novosphingobium fluoreni,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium fluoreni
Roseburia difficilis,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia difficilis
Sphingomonas oligoaromativorans,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas oligoaromativorans
Jeotgalicoccus coquinae,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,Jeotgalicoccus coquinae
Marinomonas sargassi,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas sargassi
Rouxiella aceris,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rouxiella,Rouxiella aceris
Longibacter salinarum,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,Salisaetaceae,Longibacter,Longibacter salinarum
Nocardioides daphniae,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides daphniae
Saccharicrinis carchari,Bacteria,Bacteroidota,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Saccharicrinis,Saccharicrinis carchari
Micromonospora chaiyaphumensis,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora chaiyaphumensis
Streptomyces paradoxus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces paradoxus
Nocardia rosealba,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,Nocardia rosealba
Arsukibacterium tuosuense,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Arsukibacterium,Arsukibacterium tuosuense
Miniphocaeibacter massiliensis,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Miniphocaeibacter,Miniphocaeibacter massiliensis
Sphingobacterium pedocola,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium pedocola
Photobacterium malacitanum,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium malacitanum
Alkalibacillus aidingensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Alkalibacillus,Alkalibacillus aidingensis
Pseudomonas cremoris,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas cremoris
Selenomonas massiliensis,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas massiliensis
Flagellimonas alvinocaridis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flagellimonas,Flagellimonas alvinocaridis
Sphingobacterium luzhongxinii,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium luzhongxinii
Gardnerella swidsinskii,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella swidsinskii
Pseudonocardia acaciae,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia acaciae
Lentzea pudingi,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Lentzea,Lentzea pudingi
Blastococcus litoris,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Blastococcus,Blastococcus litoris
Winogradskyella damuponensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella damuponensis
Urechidicola vernalis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Urechidicola,Urechidicola vernalis
Lentzea alba,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Lentzea,Lentzea alba
Pseudoscardovia suis,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Pseudoscardovia,Pseudoscardovia suis
Mycolicibacterium lacusdiani,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium lacusdiani
Acetobacter thailandicus,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter thailandicus
Amylibacter kogurei,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paramylibacter,Amylibacter kogurei
Thalassobius vesicularis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassobius vesicularis
Scandinavium hiltneri,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Scandinavium,Scandinavium hiltneri
Streptomyces yaizuensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces yaizuensis
Roseateles cellulosilyticus,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Roseateles,Roseateles cellulosilyticus
Bifidobacterium oedipodis,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium oedipodis
Thalassovita mangrovi,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassovita mangrovi
Streptomyces doebereineriae,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces doebereineriae
Actinoallomurus liliacearum,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,Actinoallomurus liliacearum
Pedobacter jeongneungensis,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter jeongneungensis
Winogradskyella eckloniae,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella eckloniae
Flavobacterium zhairuonense,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium zhairuonense
Sphingobacterium lumbrici,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium lumbrici
Reichenbachiella versicolor,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Reichenbachiellaceae,Reichenbachiella,Reichenbachiella versicolor
Marinimicrobium alkaliphilum,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,Marinimicrobium alkaliphilum
Palleronia pelagia,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Palleronia,Palleronia pelagia
Halalkalicoccus paucihalophilus,Bacteria,Methanobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halalkalicoccus,Halalkalicoccus paucihalophilus
Microvirga terrestris,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga terrestris
Cohnella mopanensis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella mopanensis
Parapedobacter koreensis,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter,Parapedobacter koreensis
Roseovarius litoreus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius litoreus
Methyloligella solikamskensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Methyloligella,Methyloligella solikamskensis
Anaerococcus cruorum,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus cruorum
Mycobacterium paraffinicum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paraffinicum
Streptomyces piniterrae,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces piniterrae
Ramlibacter lithotrophicus,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,Ramlibacter lithotrophicus
Janthinobacterium kumbetense,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium kumbetense
Ensifer oleiphilus,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ensifer,Ensifer oleiphilus
Arthrobacter ruber,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter ruber
Marinococcus luteus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Marinococcus,Marinococcus luteus
Halonatronomonas betaini,Bacteria,Bacillota,Clostridia,Halanaerobiales,Halarsenatibacteraceae,Halonatronomonas,Halonatronomonas betaini
Streptomyces salyersiae,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces salyersiae
Actinomadura barringtoniae,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura barringtoniae
Pelagibaculum spongiae,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillales_f,Pelagibaculum,Pelagibaculum spongiae
Kushneria sinocarnis,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Kushneria,Kushneria sinocarnis
Flavobacterium panacis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium panacis
Acinetobacter kanungonis,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter kanungonis
Thermomonas alba,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Thermomonas,Thermomonas alba
Neotamlana nanhaiensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Neotamlana,Neotamlana nanhaiensis
Caballeronia concitans,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia concitans
Nocardia macrotermitis,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,Nocardia macrotermitis
Paenibacillus haidiansis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus haidiansis
Cohaesibacter celericrescens,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Cohaesibacteraceae,Cohaesibacter,Cohaesibacter celericrescens
Motilibacter peucedani,Bacteria,Actinomycetota,Actinomycetes,Motilibacterales,Motilibacteraceae,Motilibacter,Motilibacter peucedani
Botrimarina colliarenosi,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Botrimarina,Botrimarina colliarenosi
Rhodococcus spelaei,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus spelaei
Flavobacterium luteum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium luteum
Corallococcus silvisoli,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus silvisoli
Flavobacterium dankookense,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium dankookense
Polynucleobacter parvulilacunae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter parvulilacunae
Aureimonas flava,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Aureimonas,Aureimonas flava
Traorella massiliensis,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Traorella,Traorella massiliensis
Confluentibacter citreus,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Confluentibacter,Confluentibacter citreus
